iter	RMSE
0	19.98501729
1	14.70077397
2	11.81360587
3	10.49655158
4	9.779085905
5	9.437768033
6	9.229804194
7	9.018850729
8	8.849431995
9	8.726330523
10	8.629462918
11	8.535558813
12	8.433041132
13	8.341150274
14	8.247414302
15	8.174453984
16	8.120150036
17	8.059529363
18	7.996791801
19	7.966708395
20	7.940473421
21	7.899717973
22	7.867541749
23	7.847642288
24	7.824649685
25	7.807031349
26	7.771537006
27	7.743831388
28	7.730829659
29	7.706571622
30	7.693288348
31	7.685210465
32	7.670733905
33	7.655091565
34	7.641235407
35	7.632547916
36	7.623808296
37	7.609378618
38	7.592175893
39	7.582995104
40	7.578540629
41	7.569873621
42	7.563313293
43	7.555716493
44	7.543963823
45	7.538233155
46	7.53145089
47	7.525815017
48	7.519069627
49	7.513646694
50	7.508631189
51	7.505164178
52	7.499809442
53	7.492991063
54	7.488406686
55	7.485234435
56	7.482585387
57	7.477362327
58	7.472606459
59	7.468310697
60	7.464069466
61	7.45986086
62	7.454810337
63	7.451555575
64	7.449206642
65	7.444995919
66	7.441468206
67	7.438694127
68	7.435768773
69	7.432503336
70	7.430567501
71	7.424998204
72	7.421509118
73	7.418989962
74	7.417591351
75	7.415711038
76	7.413861956
77	7.411398389
78	7.407430765
79	7.405188025
80	7.402173123
81	7.399059221
82	7.397405639
83	7.394185841
84	7.392116079
85	7.390469119
86	7.389449632
87	7.386709647
88	7.384976958
89	7.383669761
90	7.382391607
91	7.381379506
92	7.378130397
93	7.376751429
94	7.37433846
95	7.372462459
96	7.371010267
97	7.369608723
98	7.368571926
99	7.367693239
100	7.365287518
101	7.36374784
102	7.362001047
103	7.360473156
104	7.359153818
105	7.358147338
106	7.35673747
107	7.355857033
108	7.354733718
109	7.353396442
110	7.351721852
111	7.350448441
112	7.348841516
113	7.347675474
114	7.345919374
115	7.34445768
116	7.342806722
117	7.341719982
118	7.340514077
119	7.339311422
120	7.337278194
121	7.336267897
122	7.33543402
123	7.334656172
124	7.333738822
125	7.332176466
126	7.331064723
127	7.329862245
128	7.328962908
129	7.327878294
130	7.326648902
131	7.32579176
132	7.3244955
133	7.32374928
134	7.322540014
135	7.321716313
136	7.320852654
137	7.320134918
138	7.319045766
139	7.318563793
140	7.317642287
141	7.316905877
142	7.315764355
143	7.314786337
144	7.313627163
145	7.312764896
146	7.312027342
147	7.311124437
148	7.310148606
149	7.309258829
