iter	Passed	Remaining
0	172	25738
1	333	24699
2	519	25470
3	655	23913
4	789	22889
5	950	22801
6	1089	22249
7	1229	21816
8	1360	21307
9	1508	21121
10	1662	21013
11	1804	20752
12	1948	20537
13	2093	20337
14	2235	20116
15	2383	19962
16	2517	19699
17	2664	19539
18	2803	19331
19	2947	19156
20	3085	18952
21	3221	18743
22	3347	18484
23	3491	18331
24	3634	18170
25	3756	17915
26	3889	17717
27	4031	17564
28	4149	17314
29	4285	17142
30	4420	16969
31	4551	16782
32	4692	16637
33	4833	16491
34	4978	16357
35	5115	16199
36	5252	16040
37	5405	15930
38	5556	15815
39	5707	15696
40	5828	15496
41	5961	15330
42	6106	15194
43	6252	15063
44	6391	14914
45	6526	14756
46	6660	14596
47	6792	14433
48	6914	14252
49	7058	14117
50	7192	13961
51	7315	13786
52	7460	13653
53	7611	13531
54	7759	13403
55	7890	13245
56	8024	13091
57	8174	12965
58	8310	12817
59	8450	12675
60	8591	12534
61	8724	12383
62	8881	12264
63	9017	12117
64	9140	11953
65	9286	11818
66	9413	11661
67	9556	11523
68	9704	11392
69	9837	11243
70	9966	11089
71	10100	10941
72	10239	10800
73	10396	10677
74	10520	10520
75	10654	10373
76	10791	10230
77	10928	10088
78	11076	9954
79	11213	9811
80	11370	9686
81	11509	9544
82	11657	9410
83	11791	9264
84	11934	9126
85	12076	8987
86	12201	8835
87	12332	8688
88	12454	8535
89	12583	8389
90	12729	8252
91	12857	8106
92	13009	7973
93	13156	7837
94	13303	7701
95	13434	7556
96	13565	7412
97	13712	7276
98	13836	7128
99	13989	6994
100	14157	6868
101	14298	6728
102	14446	6592
103	14603	6459
104	14758	6325
105	14924	6195
106	15068	6055
107	15199	5910
108	15344	5771
109	15480	5629
110	15621	5488
111	15751	5344
112	15898	5205
113	16052	5069
114	16208	4932
115	16351	4792
116	16496	4652
117	16642	4513
118	16786	4373
119	16941	4235
120	17081	4094
121	17237	3956
122	17379	3814
123	17513	3672
124	17660	3532
125	17807	3391
126	17929	3247
127	18064	3104
128	18196	2962
129	18352	2823
130	18509	2684
131	18643	2542
132	18791	2401
133	18926	2259
134	19066	2118
135	19195	1975
136	19341	1835
137	19474	1693
138	19624	1553
139	19774	1412
140	19900	1270
141	20047	1129
142	20212	989
143	20338	847
144	20498	706
145	20645	565
146	20784	424
147	20937	282
148	21092	141
149	21235	0
